Id,Prediction
0,15
1,98
2,92
3,96
4,40
5,89
6,23
7,48
8,1
9,6
10,57
11,91
12,87
13,54
14,23
15,52
16,13
17,5
18,50
19,71
20,35
21,49
22,58
23,32
24,3
25,78
26,19
27,27
28,65
29,13
30,80
31,71
32,49
33,65
34,4
35,99
36,13
37,44
38,51
39,97
40,75
41,87
42,56
43,87
44,14
45,31
46,9
47,95
48,23
49,9
50,13
51,13
52,5
53,72
54,97
55,81
56,10
57,73
58,63
59,13
60,59
61,41
62,48
63,15
64,75
65,2
66,17
67,18
68,5
69,86
70,13
71,55
72,40
73,86
74,46
75,74
76,26
77,64
78,65
79,4
80,45
81,3
82,50
83,80
84,10
85,76
86,36
87,82
88,8
89,20
90,86
91,48
92,24
93,74
94,38
95,43
96,5
97,79
98,71
99,75
100,72
101,71
102,14
103,84
104,92
105,92
106,83
107,13
108,92
109,91
110,35
111,59
112,3
113,5
114,87
115,57
116,60
117,35
118,52
119,35
120,42
121,29
122,38
123,78
124,56
125,57
126,41
127,68
128,34
129,33
130,17
131,9
132,6
133,10
134,27
135,97
136,8
137,20
138,38
139,21
140,55
141,7
142,32
143,69
144,46
145,41
146,66
147,14
148,3
149,72
150,33
151,69
152,19
153,7
154,64
155,89
156,86
157,49
158,66
159,15
160,1
161,87
162,17
163,49
164,2
165,87
166,67
167,53
168,89
169,82
170,40
171,98
172,88
173,87
174,13
175,68
176,69
177,77
178,17
179,79
180,8
181,42
182,48
183,21
184,37
185,21
186,61
187,5
188,65
189,33
190,44
191,19
192,85
193,25
194,14
195,41
196,82
197,31
198,36
199,63
200,42
201,7
202,96
203,22
204,15
205,19
206,85
207,32
208,78
209,68
210,17
211,65
212,90
213,29
214,46
215,63
216,4
217,37
218,34
219,0
220,27
221,41
222,53
223,45
224,48
225,28
226,15
227,21
228,26
229,98
230,23
231,91
232,9
233,23
234,5
235,89
236,26
237,4
238,10
239,12
240,8
241,75
242,85
243,49
244,4
245,44
246,17
247,2
248,14
249,43
250,75
251,69
252,24
253,16
254,25
255,49
256,21
257,76
258,21
259,52
260,33
261,86
262,24
263,74
264,30
265,16
266,28
267,95
268,91
269,19
270,21
271,16
272,3
273,77
274,75
275,15
276,16
277,81
278,70
279,15
280,6
281,84
282,38
283,15
284,15
285,52
286,24
287,0
288,59
289,24
