Id,Prediction
0,15
1,98
2,92
3,52
4,40
5,84
6,23
7,48
8,36
9,6
10,57
11,61
12,87
13,54
14,71
15,52
16,81
17,5
18,50
19,49
20,35
21,49
22,58
23,32
24,3
25,78
26,65
27,89
28,65
29,89
30,34
31,60
32,49
33,38
34,4
35,99
36,90
37,44
38,51
39,97
40,41
41,29
42,56
43,86
44,14
45,31
46,9
47,95
48,23
49,48
50,13
51,58
52,5
53,72
54,97
55,81
56,28
57,30
58,63
59,13
60,62
61,41
62,48
63,31
64,90
65,98
66,17
67,18
68,5
69,86
70,13
71,18
72,30
73,5
74,35
75,33
76,26
77,64
78,34
79,74
80,45
81,3
82,50
83,80
84,28
85,76
86,50
87,82
88,8
89,20
90,86
91,48
92,24
93,65
94,38
95,43
96,5
97,79
98,71
99,58
100,21
101,71
102,4
103,25
104,54
105,92
106,83
107,13
108,70
109,29
110,88
111,59
112,3
113,0
114,87
115,99
116,60
117,35
118,52
119,11
120,42
121,29
122,74
123,44
124,56
125,35
126,41
127,68
128,34
129,33
130,17
131,9
132,6
133,32
134,27
135,97
136,79
137,20
138,38
139,21
140,67
141,7
142,32
143,69
144,46
145,41
146,50
147,14
148,3
149,77
150,33
151,69
152,19
153,7
154,64
155,89
156,86
157,49
158,66
159,15
160,1
161,87
162,17
163,73
164,35
165,57
166,67
167,53
168,48
169,82
170,40
171,57
172,79
173,87
174,13
175,68
176,69
177,77
178,37
179,79
180,8
181,42
182,75
183,21
184,12
185,21
186,61
187,41
188,65
189,27
190,74
191,19
192,85
193,84
194,6
195,41
196,37
197,3
198,80
199,63
200,34
201,14
202,96
203,10
204,15
205,19
206,85
207,32
208,51
209,68
210,17
211,65
212,90
213,29
214,35
215,63
216,46
217,17
218,43
219,0
220,27
221,41
222,53
223,6
224,58
225,28
226,38
227,10
228,44
229,98
230,23
231,91
232,9
233,23
234,67
235,89
236,6
237,77
238,10
239,49
240,8
241,75
242,85
243,49
244,27
245,79
246,17
247,2
248,92
249,15
250,66
251,69
252,24
253,16
254,25
255,49
256,51
257,76
258,21
259,47
260,33
261,86
262,24
263,74
264,30
265,16
266,28
267,95
268,84
269,19
270,21
271,16
272,55
273,83
274,79
275,15
276,91
277,90
278,70
279,3
280,82
281,84
282,38
283,15
284,15
285,52
286,91
287,0
288,44
289,24
